id,name,hrID
8445089,Chuck Arnason,arnasch01
8445112,Mike Boland,bolanmi01
8445201,Bob Babcock
8445211,Reid Bailey,bailere01
8445209,Mike Backman,backmmi01
8445202,Jamie Baker,bakerja01
8445203,Bill Brydge,brydgbi01
8445204,Jamie Baker,bakerja01
8445207,Wayne Babych,babycwa01
8445218,Steve Baker,bakerst01
8445199,Rene Badeau
8445222,Robert Bales
8445221,Dale Baldwin
8445208,Dave Babych,babycda01
8445212,Bill Baker,bakerbi01
8445223,Joel Baillargeon,bailljo01
8445225,Jeff Bandura,banduje01
8445236,Al Buchanan,buchaal01
8445242,Tony Bukovich,bukovto01
8445233,Glenn Brydson,brydsgl01
8445247,Bryon Baltimore,baltibr01
8445245,Helmut Balderis,baldehe01
8445240,Johnny Bucyk,bucykjo01
8445238,Mike Buchanan,buchami01
8445241,Doug Buhr,buhrdo01
8445234,Gord Brydson,brydsgo01
8445244,Hy Buller,bullehy01
8445206,John Baby,babyjo01
8445237,Bucky Buchanan,buchabu01
8445249,Murray Bannerman,bannemu01
8445232,Peter Bakovic,bakovpe01
8445239,Ron Buchanan,bucharo01
8445293,Bert Burry,burrybe01
8445287,Kelly Burnett,burneke01
8445284,Roy Burmister,burmiro01
8445299,Gord Buttrey,buttrgo01
8445294,Cummy Burton,burtocu01
8445292,Robin Burns,burnsro01
8445302,Mike Byers,byersmi01
8445296,Walt Buswell,buswewa01
8445301,Gord Byers,byersgo01
8445297,Dick Butler,butledi01
8445295,Eddie Bush,bushed01
8445305,Larry Cahan,cahanla01
8445298,Frank Bathe,bathefr01
8445303,Jack Caffery,caffeja01
8445000,Dave Andreychuk,andreda01
8445004,Earl Balfour,balfoea01
8445007,Dave Balon,balonda01
8445005,Murray Balfour,balfomu01
8445002,Ken Baird,bairdke01
8445003,Doug Baldwin,baldwdo01
8445013,Darrel Anholt,anholda01
8445006,Terry Ball,ballte01
8445009,Stan Baluik,baluist01
8445001,Bob Bailey,bailebo01
8445127,Helge Bostrom,bostrhe01
8445121,Hardy Astrom
8445129,Henry Boucha,bouchhe01
8445124,George Boothman,boothge01
8445126,Christian Bordeleau,bordech01
8445118,Brent Ashton,ashtobr01
8445151,Wally Boyer,boyerwa01
