id,playerId,draftedByTeamId,teamPickHistory
17395,8480196,7,BUF
17396,8480197,17,DET
17397,8480198,25,DAL
17398,8480060,28,FLA-NYR-SJS
17399,8479998,26,LAK
17400,8480199,12,CAR
17401,8480200,52,WPG
17402,8480017,4,PHI
17403,8480201,4,TBL-PHI
17404,8480202,53,NYI-PHI-ARI
17405,8480008,20,CGY
17406,8479993,10,TOR
17407,8480280,6,BOS
17408,8480203,16,SJS-VAN-CHI
17409,8480281,19,STL
17410,8480282,21,NYR-COL
17411,8480076,22,EDM
17412,8480204,30,MIN
17413,8480205,29,CBJ
17414,8480206,26,MTL-DAL-LAK
17415,8480207,16,CHI
17416,8480283,15,WSH
17417,8480208,9,OTT
17418,8480209,24,ANA
17419,8479027,3,NSH-NJD-SJS-NYR
17420,8480284,10,PIT-TOR
17421,8480210,21,COL
17422,8480211,53,VAN-EDM-ARI
17423,8480044,54,VGK
17424,8480212,53,ARI
17425,8480213,1,NJD
17426,8480214,19,BUF-STL
17427,8480215,17,DET
17428,8480216,25,DAL
17429,8480065,13,FLA
17430,8480217,26,LAK
17431,8480218,23,CAR-CHI-VAN
17432,8480219,52,WPG
17433,8480220,4,PHI
17434,8480221,26,TBL-LAK
17435,8480222,2,NYI
17436,8480223,20,CGY
17437,8480224,10,TOR
17438,8480225,54,BOS-CAR-VGK
17439,8480226,1,SJS-NJD
17440,8480227,16,STL-CHI
17441,8480228,3,NYR
17442,8480229,22,EDM
17443,8480230,30,MIN
17444,8480046,29,CBJ
17445,8479995,8,MTL
17446,8480231,16,CHI
17447,8480232,15,WSH
17448,8480285,5,OTT-PIT
17449,8480042,24,ANA
17450,8480233,18,NSH
17451,8480234,5,PIT
17452,8480287,21,COL-SJS-COL
17453,8480235,3,VAN-NYR
17454,8480288,54,VGK
17455,8480236,28,ARI-SJS
17456,8480237,1,NJD
17457,8480238,54,BUF-VGK
17458,8480239,17,DET
17459,8480240,25,DAL
17460,8480241,17,FLA-DET
17461,8480242,2,LAK-NYI
17462,8480243,12,CAR
17463,8480244,52,WPG
17464,8480245,4,PHI
17465,8480246,14,TBL
17466,8480247,29,NYI-CHI-CBJ
17467,8480057,20,CGY
17468,8480248,10,TOR
17469,8480249,6,BOS
17470,8480289,3,SJS-NYR
17471,8480250,19,STL
17472,8480013,18,NYR-NSH
17473,8480291,22,EDM
17474,8480251,30,MIN
17475,8480292,29,CBJ
17476,8480252,14,MTL-TBL
17477,8479610,23,CHI-VAN
17478,8480253,15,WSH
17479,8480254,9,OTT
17480,8480255,13,ANA-FLA
17481,8480053,28,NSH-NJD-SJS
17482,8480256,5,PIT
17483,8480257,21,COL
17484,8480258,23,VAN
17485,8480259,54,VGK
17486,8480286,53,ARI
17487,8480260,1,NJD
17488,8480261,7,BUF
17489,8480262,17,DET
17490,8480263,25,DAL
17491,8480264,6,FLA-BOS
17492,8480293,4,LAK-TBL-PHI
17493,8480265,12,CAR
17494,8480266,52,WPG
17495,8480051,8,PHI-MTL
17496,8480267,14,TBL
17497,8480268,2,NYI
17498,8480269,20,CGY
17499,8480290,10,TOR
17500,8480270,6,BOS
17501,8480271,1,SJS-NJD
17502,8480272,19,STL
17503,8480273,3,NYR
17504,8480274,22,EDM
17505,8480275,30,MIN
17506,8480294,29,CBJ
17507,8480295,52,MTL-WPG
17508,8480276,28,CHI-SJS
17509,8480296,15,WSH
17510,8480277,1,OTT-SJS-NJD
17511,8480297,16,ANA-CHI
17512,8480024,18,NSH
17513,8480278,5,PIT
17514,8480839,7,BUF
17515,8480830,12,CAR
17516,8480829,8,MTL
17517,8480801,9,OTT
17518,8480849,53,ARI
17519,8480821,17,DET
17520,8480800,23,VAN
17521,8480871,16,CHI
17522,8480833,3,NYR
17523,8480803,22,EDM
17524,8480789,2,NYI
17525,8480865,2,CGY-NYI
17526,8480848,25,DAL
17527,8480797,4,STL-PHI
17528,8480844,13,FLA
17529,8480822,21,COL
17530,8480883,1,NJD
17531,8480853,29,CBJ
17532,8480877,4,PHI
17533,8480845,26,LAK
17534,8480847,28,SJS
17535,8480817,3,PIT-OTT-NYR
17536,8480806,24,ANA
17537,8480872,30,MIN
17538,8480827,19,TOR-STL
17539,8480879,9,BOS-NYR-OTT
17540,8480814,16,NSH-CHI
17541,8480878,3,TBL-NYR
17542,8480873,10,WPG-STL-TOR
17543,8480813,17,VGK-DET
17544,8480823,15,WSH
17545,8480807,7,BUF
17546,8481013,17,OTT-NYR-DET
17547,8480856,13,ARI-FLA
17548,8481058,8,MTL
17549,8480862,17,DET
17550,8480808,23,VAN
17551,8481014,8,CHI-MTL
17552,8481015,3,NYR
17553,8480802,22,EDM
17554,8480826,2,NYI
17555,8480835,12,CAR
17556,8481016,2,CGY-NYI
17557,8481017,25,DAL
17558,8481059,19,STL
17559,8480796,15,FLA-NJD-WSH
17560,8480804,15,COL-WSH
17561,8480811,9,NJD-NYR-OTT
17562,8480893,29,CBJ
17563,8480874,4,PHI
17564,8480851,26,LAK
